173;526471;ONION POWDER 74g;ANNAM CAMBODIA COMPANY;100-015;15;2024-12-25;RETURN;G01B-C05-L5;90
174;3045320093223;ORANGE MARMALADE 30g;ANNAM CAMBODIA COMPANY;100-015;8;2025-04-16;RETURN;G05B-C05-L6;90
175;523561;OREGANO GROUND 21g;ANNAM CAMBODIA COMPANY;100-015;19;2024-11-02;RETURN;G01B-C05-L6;90
176;527161;OREGANO LEAVES WHOLE 21g;ANNAM CAMBODIA COMPANY;100-015;5;2025-07-23;RETURN;G01B-C05-L4;90
177;52100464503;ORIGINAL BUFFALO WINGS SEAS MIX 1.6 OZ;ANNAM CAMBODIA COMPANY;100-015;13;2024-11-04;RETURN;G01B-C06-L7;90
178;9999234567872;Paté Royal Country Terrine 180g;ANNAM CAMBODIA COMPANY;100-015;20;2027-05-30;RETURN;G02B-C07-L1;90
179;9999234032004;PATE ROYAL poultry liver mousse Porto 180g;ANNAM CAMBODIA COMPANY;100-015;21;2027-02-28;RETURN;G02B-C07-L1;90
180;9999234567858;PATE ROYAL poultry liver terrine with cognac 180g;ANNAM CAMBODIA COMPANY;100-015;15;2027-05-30;RETURN;G02B-C07-L1;90
181;3045320093216;PEACH PRESERVES 30g;ANNAM CAMBODIA COMPANY;100-015;6;2024-05-19;RETURN;G05B-C05-L6;90
182;52100030043;PEPPER BLACK COARSE GROUND 42g;ANNAM CAMBODIA COMPANY;100-015;10;2026-06-14;RETURN;Side Stack-L3;90
183;52100029924;PEPPER BLACK GROUND 42g;ANNAM CAMBODIA COMPANY;100-015;8;2026-02-21;RETURN;G01B-C05-L4;90
184;52100030234;PEPPER BLACK WHOLE 67g;ANNAM CAMBODIA COMPANY;100-015;22;2027-01-18;RETURN;G01B-C05-L4;90
